YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END
1983,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,109,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
1982,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,122,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
1981,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,153,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
1979,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,134,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
1978,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,102,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
1977,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,15,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_Active_Vessels_EBS_Fishery,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery; responsive to vessel-level costs of entry and operation and TAC level,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Eastern Bering Sea,TBD,TBD,TBD,N,Annual number of active vessels in the snow crab fishery to represent the level of fishing effort assigned to the fishery,BS Snow Crab,2022,2022,NA,NA,1,1,# Vessels,12,Eastern Bering Sea,1/1/1977,12/31/2022
2022,Annual_Snow_Crab_CPUE_Fishery,124.0841152,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2021,Annual_Snow_Crab_CPUE_Fishery,218.3869628,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2020,Annual_Snow_Crab_CPUE_Fishery,151.4945861,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2019,Annual_Snow_Crab_CPUE_Fishery,187.546751,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2018,Annual_Snow_Crab_CPUE_Fishery,136.3703138,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2017,Annual_Snow_Crab_CPUE_Fishery,138.4450687,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2016,Annual_Snow_Crab_CPUE_Fishery,146.1707386,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2015,Annual_Snow_Crab_CPUE_Fishery,197.1034304,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2014,Annual_Snow_Crab_CPUE_Fishery,186.1224533,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2013,Annual_Snow_Crab_CPUE_Fishery,210.328919,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2012,Annual_Snow_Crab_CPUE_Fishery,223.7792219,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2011,Annual_Snow_Crab_CPUE_Fishery,256.0279906,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2010,Annual_Snow_Crab_CPUE_Fishery,257.0362585,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2009,Annual_Snow_Crab_CPUE_Fishery,280.946159,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2008,Annual_Snow_Crab_CPUE_Fishery,357.1552142,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2007,Annual_Snow_Crab_CPUE_Fishery,342.1415763,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2006,Annual_Snow_Crab_CPUE_Fishery,208.9054654,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2005,Annual_Snow_Crab_CPUE_Fishery,239.5065584,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2004,Annual_Snow_Crab_CPUE_Fishery,150.9153821,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2003,Annual_Snow_Crab_CPUE_Fishery,151.1283098,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2002,Annual_Snow_Crab_CPUE_Fishery,76.93269251,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2001,Annual_Snow_Crab_CPUE_Fishery,97.34626046,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
2000,Annual_Snow_Crab_CPUE_Fishery,137.3330322,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1999,Annual_Snow_Crab_CPUE_Fishery,159.8926722,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1998,Annual_Snow_Crab_CPUE_Fishery,208.0143942,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1997,Annual_Snow_Crab_CPUE_Fishery,132.619694,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1996,Annual_Snow_Crab_CPUE_Fishery,101.582185,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1995,Annual_Snow_Crab_CPUE_Fishery,119.3676929,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1994,Annual_Snow_Crab_CPUE_Fishery,160.2321569,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1993,Annual_Snow_Crab_CPUE_Fishery,174.9170385,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1992,Annual_Snow_Crab_CPUE_Fishery,177.8460902,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
1991,Annual_Snow_Crab_CPUE_Fishery,191.7153108,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Snow_Crab_CPUE_Fishery,"Catch-per-unit-effort (CPUE), expressed as the number of retained snow crab per potlift in the directed snow crab fishery calculated as total retained crab divided by total potlifts. Year is calendar year. Used to represent relative efficiency of fishing effort; may be compared to abundance estimates from the survey to see how well they track over time",Socioeconomic,Fishery Performance,Ben Daly,Annually,N,Eastern Bering Sea,TBD,TBD,TBD,N,"Annual catch-per-unit-effort (CPUE), expressed as mean number of crabs per potlift, in the snow crab fishery to represent relative efficiency of fishing effort",BS Snow Crab,2022,2022,NA,NA,1,1,# Crab/Potlift,13,Eastern Bering Sea,NA,NA
